location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,53664,POL_53664,Lubuskie,4,51,"1,31,42,51,53664",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",27,Lubuskie,Lubuskie,3,admin1,1,1,Lubuskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53665,POL_53665,Małopolskie,4,51,"1,31,42,51,53665",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",28,Malopolskie,Malopolskie,3,admin1,1,1,Małopolskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53666,POL_53666,Mazowieckie,4,51,"1,31,42,51,53666",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",29,Mazowieckie,Mazowieckie,3,admin1,1,1,Mazowieckie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53667,POL_53667,Opolskie,4,51,"1,31,42,51,53667",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",30,Opolskie,Opolskie,3,admin1,1,1,Opolskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53668,POL_53668,Podkarpackie,4,51,"1,31,42,51,53668",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",31,Podkarpackie,Podkarpackie,3,admin1,1,1,Podkarpackie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53669,POL_53669,Podlaskie,4,51,"1,31,42,51,53669",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",32,Podlaskie,Podlaskie,3,admin1,1,1,Podlaskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53670,POL_53670,Pomorskie,4,51,"1,31,42,51,53670",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",33,Pomorskie,Pomorskie,3,admin1,1,1,Pomorskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53671,POL_53671,Śląskie,4,51,"1,31,42,51,53671",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",34,Slaskie,Slaskie,3,admin1,1,1,Śląskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53672,POL_53672,Świętokrzyskie,4,51,"1,31,42,51,53672",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",35,Swietokrzyskie,Swietokrzyskie,3,admin1,1,1,Świętokrzyskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53673,POL_53673,Warmińsko-Mazurskie,4,51,"1,31,42,51,53673",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",36,Warminsko-Mazurskie,Warminsko-Mazurskie,3,admin1,1,1,Warmińsko-Mazurskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53674,POL_53674,Wielkopolskie,4,51,"1,31,42,51,53674",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",37,Wielkopolskie,Wielkopolskie,3,admin1,1,1,Wielkopolskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
